1,100
2,250
3,572
4,1179
5,2000
6,3000
7,4200
8,6073
9,8692
10,11491
11,14488
12,17692
13,21112
14,24775
15,28762
16,33109
17,37852
18,43018
19,48652
20,54790
21,61477
22,68767
23,76714
24,85381
25,94822
26,105118
27,116341
28,128572
29,141901
30,156562
31,172690
32,190438
33,209959
34,231433
35,255049
36,281032
37,309607
38,341044
39,375622
40,413656
41,455497
42,501523
43,552148
44,607840
45,669094
46,736477
47,810601
48,892132
49,981817
50,1080475
51,1188997
52,1308373
53,1439683
54,1584124
55,1743010
56,1917790
57,2110039
58,2321521
59,2554144
60,2812363
61,3101560
62,3428359
63,3800905
64,4229341
65,4726321
66,5307784
67,5993917
68,7297567
69,8861947
70,10754845
71,13073832
72,13738611
73,14612239
74,15573229
75,16620708
76,17877683
77,20391634
78,22930724
79,25495205
80,28085330
81,30701357
82,33343545
83,36012154
84,38707449
85,41429697
86,44179168
87,46956133
88,49760868
89,52593650
90,55454761
91,58344482
92,61263100
93,64210905
94,67188188
95,70195243
96,73232369
97,76299867
98,79398039
99,82527193
100,85687639
101,88879689
102,92103659
103,95359870
104,98648642
105,101970302
106,105325179
107,108713604
108,112135914
109,115592447
110,119083545
111,122609554
112,126170823
113,129767705
114,133400556
115,137069735
116,140775606
117,144518536
118,148298895
119,152117057
120,155973401
121,159868309
122,163802166
123,167775361
124,171788288
125,175841345
126,179934932
127,184069455
128,188245323
129,192462950
130,196722753
131,201025155
132,205370580
133,209759459
134,214192227
135,218669323
136,223191190
137,227758276
138,232371032
139,237029916
140,241735389
141,246487917
142,251287969
143,256136023
144,261032557
145,265978056
146,270973010
147,276017914
148,281113267
149,286259573
150,291457342
151,296707089
152,302009334
153,307364601
154,312773421
155,318236329
156,323753866
157,329326578
158,334955017
159,340639741
160,346381312
161,352180299
162,358037276
163,363952822
164,369927524
165,375961973
166,382056766
167,388212507
168,394429806
169,400709278
170,407051544
171,413457233
172,419926979
173,426461423
174,433061211
175,439726997
176,446459440
177,453259208
178,460126974
179,467063417
180,474069225
181,481145091
182,488291716
183,495509807
184,502800078
185,510163253
186,517600059
187,525111233
188,532697519
189,540359668
190,548098438
191,555914596
192,563808916
193,571782179
194,579835174
195,587968700
196,596183560
197,604480570
198,612860549
199,621324328
200,629872745
201,638506646
202,647226886
203,656034329
204,664929846
205,673914318
206,682988635
207,692153695
208,701410405
209,710759683
210,720202454
211,729739652
212,739372222
213,749101118
214,758927303
215,768851749
216,778875440
217,788999369
218,799224536
219,809551955
220,819982648
221,830517648
222,841157998
223,851904752
224,862758973
225,873721737
226,884794128
227,895977243
228,907272189
229,918680084
230,930202059
231,941839253
232,953592819
233,965463921
234,977453734
235,989563445
236,1001794253
237,1014147369
238,1026624017
239,1039225430
240,1051952858
241,1064807561
242,1077790810
243,1090903892
244,1104148104
245,1117524759
246,1131035180
247,1144680706
248,1158462686
249,1172382487
